	id	created_ts	text	user.name	location	verified	entities	RT	quoted_text
104160	1236631731937185797	2020-03-08 12:35:55	RT @WLRjack: NBA: prepare to play games with no fans due to coronavirus   WNBA: https://t.co/H8FXnfIld7	thatsnotmyname	None	False	{u'user_mentions': [{u'id': 1205456180610514944, u'indices': [3, 11], u'id_str': u'1205456180610514944', u'screen_name': u'WLRjack', u'name': u'\U0001d4bf\U0001d4b6\U0001d4b8\U0001d4c0\U0001f4ab'}], u'symbols': [], u'hashtags': [], u'urls': [], u'media': [{u'additional_media_info': {u'monetizable': False}, u'source_user_id': 1205456180610514944, u'source_status_id_str': u'1236387626606899201', u'expanded_url': u'https://twitter.com/WLRjack/status/1236387626606899201/video/1', u'display_url': u'pic.twitter.com/H8FXnfIld7', u'url': u'https://t.co/H8FXnfIld7', u'media_url_https': u'https://pbs.twimg.com/ext_tw_video_thumb/1236387614854467584/pu/img/MULA-zUl5Q8mADsG.jpg', u'source_user_id_str': u'1205456180610514944', u'source_status_id': 1236387626606899201, u'id_str': u'1236387614854467584', u'sizes': {u'large': {u'h': 360, u'resize': u'fit', u'w': 640}, u'small': {u'h': 360, u'resize': u'fit', u'w': 640}, u'medium': {u'h': 360, u'resize': u'fit', u'w': 640}, u'thumb': {u'h': 150, u'resize': u'crop', u'w': 150}}, u'indices': [80, 103], u'type': u'photo', u'id': 1236387614854467584, u'media_url': u'http://pbs.twimg.com/ext_tw_video_thumb/1236387614854467584/pu/img/MULA-zUl5Q8mADsG.jpg'}]}	1	
104322	1236633180465065990	2020-03-08 12:41:40	RT @bhootnath: I am sure you as a doctor/intern know that masks are prescribed for patients and uninfected people, N95 mask has a pore size…	Priest ࿗	in the solitude of Aranya. 	False	{u'user_mentions': [{u'id': 17208347, u'indices': [3, 13], u'id_str': u'17208347', u'screen_name': u'bhootnath', u'name': u'Anurag Dixit'}], u'symbols': [], u'hashtags': [], u'urls': []}	1	Good morning everyone ....I am ready with precautions ...Are you ? #COVID2019 https://t.co/rKZIp6NhII
104375	1236633682686820354	2020-03-08 12:43:40	"RT @AEIecon: ""We know how to control outbreaks in America. Our early warning and preparation against coronavirus could prevent a larger epi…"	liz black	None	False	{u'user_mentions': [{u'id': 809552311, u'indices': [3, 11], u'id_str': u'809552311', u'screen_name': u'AEIecon', u'name': u'AEI Economics'}], u'symbols': [], u'hashtags': [], u'urls': []}	1	
104476	1236634458322808833	2020-03-08 12:46:45	RT @__snowflakee_: Tagging her coz she blocked you. @i_rani are you ready for the trend or TASK?? @shehnaazshineFC  @Shehnaaz_GillFC  She i…	SidNaaz Lover💞💝💗💟💖	Sikar, India	False	{u'user_mentions': [{u'id': 341947257, u'indices': [3, 17], u'id_str': u'341947257', u'screen_name': u'__snowflakee_', u'name': u'\u2764\ufe0f \U0001d4ae\U0001d4c3\U0001f4ae\U0001d4cc\U0001d4bb\U0001d4c1\U0001d4b6\U0001d4c0\U0001d452 \u2764\ufe0f'}, {u'id': 1201112609052749824, u'indices': [52, 59], u'id_str': u'1201112609052749824', u'screen_name': u'i_rani', u'name': u'I A\u1d0d F\u1d00\u1d0b\u1d07\u0280\u1d00\u0274\u026a'}, {u'id': 1181061037769932800, u'indices': [98, 114], u'id_str': u'1181061037769932800', u'screen_name': u'shehnaazshineFC', u'name': u'SHEHNAAZ OFFICIAL FC'}, {u'id': 1192182672203878401, u'indices': [116, 132], u'id_str': u'1192182672203878401', u'screen_name': u'Shehnaaz_GillFC', u'name': u'Shehnaaz Gill \u2764\ufe0f\U0001f525'}], u'symbols': [], u'hashtags': [], u'urls': []}	1	😌😌 are you ready for the task? 😌😌  #BheegeChunarWaliSana #RangBarseWithSid https://t.co/9JVP4M2emh
104541	1236634994728153089	2020-03-08 12:48:52	RT @andyman168: THIS PHOTO IS THE FACES OF TREASON AGAINST EVERY AMERICAN IN THIS NATION. THESE PEOPLE SHOULD ALL BE BEHIND BARS RIGHT NOW…	Thomas Coonce 88022	Missouri, USA	False	{u'user_mentions': [{u'id': 928420810565459969, u'indices': [3, 14], u'id_str': u'928420810565459969', u'screen_name': u'andyman168', u'name': u'andy chadwick'}], u'symbols': [], u'hashtags': [], u'urls': []}	1	For all the hype, and much to the chagrin of the Socialist Dem party and its lying #MSM arm, the #CoronaVirus scare will soon end with little more than short-term impact on our country.  @POTUS' administration was ready for it and is handling it well. #VoteRedToSaveAmerica #MAGA https://t.co/ncIqK56C8u
104653	1236635912009850880	2020-03-08 12:52:31	"RT @MSNBC: .@chrislhayes: ""We have had three months to prepare for the coronavirus to come to the US since the outbreak started in Wuhan, C…"	Debbie Pipkin	None	False	{u'user_mentions': [{u'id': 2836421, u'indices': [3, 9], u'id_str': u'2836421', u'screen_name': u'MSNBC', u'name': u'MSNBC'}, {u'id': 4207961, u'indices': [12, 24], u'id_str': u'4207961', u'screen_name': u'chrislhayes', u'name': u'Chris Hayes'}], u'symbols': [], u'hashtags': [], u'urls': []}	1	
104664	1236635974404378624	2020-03-08 12:52:46	"""We wish to convey a strong message: Get ready!» ""Preparing for #COVIDー19 -Shared experience &amp; guidance from our colleagues in Northern Italy."" Msg from the @ESICM President - Letter from italian doctors,  Professors @DrMCecconi and colleagues. https://t.co/zJGQVgDswZ"	Eveline Monteiro	None	False	{u'user_mentions': [], u'symbols': [], u'hashtags': [{u'indices': [64, 73], u'text': u'COVID\u30fc19'}], u'urls': [{u'url': u'https://t.co/iUsdBJzYil', u'indices': [121, 144], u'expanded_url': u'https://twitter.com/i/web/status/1236635974404378624', u'display_url': u'twitter.com/i/web/status/1\u2026'}]}	0	
104739	1236636598655123457	2020-03-08 12:55:15	RT @yashar: Trying to prepare for the Coronavirus by going to a crowded store where random people have been touching everything	Kyla	None	False	{u'user_mentions': [{u'id': 11744152, u'indices': [3, 10], u'id_str': u'11744152', u'screen_name': u'yashar', u'name': u'Yashar Ali \U0001f418'}], u'symbols': [], u'hashtags': [], u'urls': []}	1	Panic buying and stockpiling of toilet roll continues. These are the scenes at Costco in Farnborough in Hampshire today. #coronavirus #toiletpaperpanic #panickbuying https://t.co/JLlZVVS7EH
104795	1236637027107569664	2020-03-08 12:56:57	RT @SRoelandt: Italian doctors have warned medics across Europe to “get ready” for coronavirus in a letter revealing up to 10 per cent of a…	Lizzie	Bonnie Scotland	False	{u'user_mentions': [{u'id': 47703797, u'indices': [3, 13], u'id_str': u'47703797', u'screen_name': u'SRoelandt', u'name': u'Sander Roelandt'}], u'symbols': [], u'hashtags': [], u'urls': []}	1	
105055	1236639068043325441	2020-03-08 13:05:04	RT @WLRjack: NBA: prepare to play games with no fans due to coronavirus   WNBA: https://t.co/H8FXnfIld7	Heartbroken hustler 💔	14000 block 	False	{u'user_mentions': [{u'id': 1205456180610514944, u'indices': [3, 11], u'id_str': u'1205456180610514944', u'screen_name': u'WLRjack', u'name': u'\U0001d4bf\U0001d4b6\U0001d4b8\U0001d4c0\U0001f4ab'}], u'symbols': [], u'hashtags': [], u'urls': [], u'media': [{u'additional_media_info': {u'monetizable': False}, u'source_user_id': 1205456180610514944, u'source_status_id_str': u'1236387626606899201', u'expanded_url': u'https://twitter.com/WLRjack/status/1236387626606899201/video/1', u'display_url': u'pic.twitter.com/H8FXnfIld7', u'url': u'https://t.co/H8FXnfIld7', u'media_url_https': u'https://pbs.twimg.com/ext_tw_video_thumb/1236387614854467584/pu/img/MULA-zUl5Q8mADsG.jpg', u'source_user_id_str': u'1205456180610514944', u'source_status_id': 1236387626606899201, u'id_str': u'1236387614854467584', u'sizes': {u'large': {u'h': 360, u'resize': u'fit', u'w': 640}, u'small': {u'h': 360, u'resize': u'fit', u'w': 640}, u'medium': {u'h': 360, u'resize': u'fit', u'w': 640}, u'thumb': {u'h': 150, u'resize': u'crop', u'w': 150}}, u'indices': [80, 103], u'type': u'photo', u'id': 1236387614854467584, u'media_url': u'http://pbs.twimg.com/ext_tw_video_thumb/1236387614854467584/pu/img/MULA-zUl5Q8mADsG.jpg'}]}	1	
